Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2
2025-06-24T07:56:06.124,0.0,63.809,76,0.186,0,176,0,181,
2025-06-24T07:56:06.422,0.0,61.633,76,0.186,0,176,0,180,
2025-06-24T07:56:06.708,0.0,67.018,76,0.186,0,176,0,182,
2025-06-24T07:56:06.993,0.0,71.986,76,0.186,0,176,0,180,
2025-06-24T07:56:07.279,0.0,73.544,76,0.186,0,176,0,175,
2025-06-24T07:56:07.564,0.0,73.503,76,0.186,0,176,0,181,
2025-06-24T07:56:07.852,0.0,69.824,76,0.186,0,176,0,176,
2025-06-24T07:56:08.156,0.0,64.198,76,0.186,0,176,0,179,
2025-06-24T07:56:08.462,0.0,62.748,76,0.186,0,176,0,181,
2025-06-24T07:56:08.769,0.0,64.453,76,0.186,0,176,0,178,
2025-06-24T07:56:09.074,0.0,67.783,76,0.186,0,176,0,181,
2025-06-24T07:56:09.378,0.0,71.1,76,0.186,0,176,0,177,
2025-06-24T07:56:09.682,0.0,73.611,76,0.186,0,176,0,176,
2025-06-24T07:56:09.989,0.0,70.442,76,0.186,0,176,0,176,
2025-06-24T07:56:10.293,0.0,64.789,76,0.186,0,176,0,177,
2025-06-24T07:56:10.598,0.0,63.594,76,0.186,0,176,0,175,
2025-06-24T07:56:10.903,0.0,65.447,76,0.186,0,176,0,180,
2025-06-24T07:56:11.206,0.0,69.233,76,0.186,0,176,0,180,
2025-06-24T07:56:11.526,0.0,72.483,76,0.186,0,176,0,181,
2025-06-24T07:56:11.832,0.0,73.396,76,0.186,0,176,0,181,
2025-06-24T07:56:12.137,0.0,68.065,76,0.186,0,176,0,178,
2025-06-24T07:56:12.443,0.0,63.218,76,0.186,0,176,0,180,
2025-06-24T07:56:12.749,0.0,61.647,76,0.186,0,176,0,180,
2025-06-24T07:56:13.053,0.0,65.809,76,0.186,0,180,0,179,
2025-06-24T07:56:13.357,0.0,69.489,76,0.186,0,176,0,180,
2025-06-24T07:56:13.678,0.0,71.597,76,0.186,0,176,0,179,
2025-06-24T07:56:13.983,0.0,73.53,76,0.186,0,176,0,182,
2025-06-24T07:56:14.287,0.0,69.502,76,0.186,0,176,0,181,
2025-06-24T07:56:14.592,0.0,65.662,76,0.186,0,180,0,176,
2025-06-24T07:56:14.897,0.0,64.158,76,0.186,0,176,0,179,
2025-06-24T07:56:15.202,0.0,66.857,76,0.186,0,176,0,177,
2025-06-24T07:56:15.507,0.0,69.489,76,0.186,0,176,0,183,
2025-06-24T07:56:15.812,0.0,71.624,76,0.186,0,176,0,175,
2025-06-24T07:56:16.116,0.0,73.973,76,0.186,0,176,0,176,
2025-06-24T07:56:16.422,0.0,71.342,76,0.186,0,176,0,181,
2025-06-24T07:56:16.726,0.0,67.756,76,0.186,0,176,0,179,
2025-06-24T07:56:17.031,0.0,65.071,76,0.186,0,180,0,182,
2025-06-24T07:56:17.335,0.0,66.602,76,0.186,0,176,0,175,
2025-06-24T07:56:17.624,0.0,69.314,76,0.186,0,176,0,182,
2025-06-24T07:56:17.929,0.0,71.879,76,0.186,0,176,0,179,
2025-06-24T07:56:18.232,0.0,74.39,76,0.186,0,176,0,179,
2025-06-24T07:56:18.538,0.0,70.281,76,0.186,0,176,0,176,
2025-06-24T07:56:18.842,0.0,64.399,76,0.186,0,178,0,180,
2025-06-24T07:56:19.148,0.0,62.748,76,0.186,0,176,0,180,
2025-06-24T07:56:19.453,0.0,65.151,76,0.186,0,176,0,180,
2025-06-24T07:56:19.759,0.0,68.629,76,0.186,0,176,0,176,
2025-06-24T07:56:20.064,0.0,71.798,76,0.186,0,176,0,182,
2025-06-24T07:56:20.368,0.0,73.92,76,0.186,0,180,0,177,
2025-06-24T07:56:20.657,0.0,70.066,76,0.186,0,178,0,176,
2025-06-24T07:56:20.962,0.0,64.802,76,0.186,0,176,0,176,
2025-06-24T07:56:21.267,0.0,63.433,76,0.186,0,176,0,180,
2025-06-24T07:56:21.587,0.0,64.843,76,0.186,0,176,0,178,
2025-06-24T07:56:21.890,0.0,67.689,76,0.186,0,176,0,180,
2025-06-24T07:56:22.176,0.0,70.966,76,0.186,0,176,0,178,
2025-06-24T07:56:22.460,0.0,72.657,76,0.186,0,176,0,179,
2025-06-24T07:56:22.761,0.0,68.522,76,0.186,0,176,0,176,
2025-06-24T07:56:23.046,0.0,63.728,76,0.186,0,176,0,180,
2025-06-24T07:56:23.347,0.0,61.593,76,0.186,0,178,0,183,
2025-06-24T07:56:23.650,0.0,65.38,76,0.186,0,176,0,182,
2025-06-24T07:56:23.939,0.0,68.683,76,0.186,0,176,0,180,
2025-06-24T07:56:24.244,0.0,71.382,76,0.186,0,176,0,179,
2025-06-24T07:56:24.550,0.0,73.02,76,0.186,0,176,0,181,
2025-06-24T07:56:24.855,0.0,68.293,76,0.186,0,176,0,180,
2025-06-24T07:56:25.159,0.0,63.433,76,0.186,0,176,0,180,
2025-06-24T07:56:25.448,0.0,61.204,76,0.186,0,176,0,182,
2025-06-24T07:56:25.769,0.0,66.628,76,0.186,0,176,0,182,
2025-06-24T07:56:26.075,0.0,72.147,76,0.186,0,180,0,182,
2025-06-24T07:56:26.379,0.0,73.745,76,0.186,0,176,0,182,
2025-06-24T07:56:26.686,0.0,72.832,76,0.186,0,176,0,178,
