Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel±Í«©: dm_air,Excel±Í«©: m_ls_opt_do
2025-06-25T18:01:28.023,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:29.021,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:30.066,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:31.031,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:31.909,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:32.796,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:33.779,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:34.749,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:35.656,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T18:01:36.528,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
