Timestamp,OD,electrical conductivity,fluorescence,Hum%RH,Dirt1,AD Value1,Dirt2,AD Value2,Excel±Í«©: dm_air,Excel±Í«©: m_ls_opt_do
2025-06-25T17:37:09.471,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:10.422,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:11.340,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:12.240,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:13.139,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:14.067,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:14.981,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:15.937,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:16.872,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:17.792,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:18.728,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:19.660,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:20.517,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:21.383,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:22.310,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:23.277,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:24.311,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:25.228,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:26.149,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:27.020,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:27.938,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:28.890,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:29.841,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:30.857,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:31.829,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:32.802,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:33.756,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:34.744,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:35.693,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:36.678,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:37.662,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:38.712,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:39.708,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:40.674,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:41.593,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:42.564,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:43.502,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:44.441,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:45.380,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:46.365,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:47.339,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:48.354,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:49.274,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:50.241,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:51.147,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:52.052,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:53.006,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:54.006,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:54.949,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:56.109,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:56.972,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:57.909,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:58.761,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:37:59.697,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:00.649,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:01.520,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:02.345,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:03.217,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:04.105,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:05.024,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:05.978,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:06.865,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:07.831,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:08.543,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:09.516,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:10.423,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:11.330,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:12.410,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:13.371,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:14.292,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:15.452,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
2025-06-25T17:38:16.517,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,450.0,10.0,
